description_fa,description_fa_embedded,facilitiesAggregate,facilitiesAggregate_embedded,tehran_zone,address,address_embedded,title_fa,title_fa_embedded,star,hotel_id
,False,انبارنگهداری چمدان، پذیرش شبانه‌روزی، تهویه مطبوع، سرویس بهداشتی ایرانی، تلویزیون، یخچال، حمام، سیستم تهویه هوا، کولر آبی، کولر گازی، رستوران، کافی‌شاپ، سیستم اطفای حریق، اعلام حریق، سرویس روزانه اتاق، چک‌این (ورود) و چک‌اوت (خروج) سریع,True,مرکز,تهران، خیابان بلوار کشاورز، خیابان وصال شیرازی، روبروی اورژانس بیمارستان آریا، کوچه اسلامی ندوشن، پلاک 10,True,هتل مسافرخانه اسلامی تهران,True,1,1756212714885091328
معرفی هتل نور حیات تهران در قلب پایتخت، جایی که تاریخ و مدرنیته در هم آمیخته‌اند، هتل نور حیات با شکوهی بی‌نظیر، پذیرای مسافران خوش ذوق و خاص‌پسند است. این هتل پنج‌ستاره، با معماری مدرن و امکانات به‌روز، تجربه‌ای ناب از اقامتی لوکس و آرامش‌بخش را برای شما رقم خواهد زد. اقامت در مرکز شهر تهران مزایای بسیاری دارد که مهم‌ترین آن دسترسی راحت به بسیاری از اداره‌ها، سازمان‌ها، اماکن مهم و حتی مراکز دیدنی است. باتوجه به شلوغی و ترافیک زیاد این شهر، اگر در سفر به تهران سر و کارتان با مرکز شهر است، بهترین گزینه انتخاب یک اقامتگاه در همان حوالی است. اگر کیفیت هتل و خدمات برایتان اهمیت بسیاری دارد و قصد دارید در جایی همه‌چیز تمام چند روزی را سپری کنید، هتل نور حیات تهران یکی از گزینه‌های روی میز شماست. هتل نور حیات در سال ۱۴۰۲ فعالیت خودش را در یازده طبقه آغاز کرده و به خوبی توانسته در میان رقبای قدر خودش قد علم کند. این هتل معماری مدرن و امروزی دارد و با جدیدترین امکانات روز دنیا از مسافران شهر تهران میزبانی می‌کند. آدرس هتل نور حیات تهران هتل نور حیات در خیابان سمیه، حوالی خیابان حافظ، در قلب تپنده شهر تهران واقع شده ‌است. این موقعیت مکانی ایده‌آل، دسترسی آسان به مهم‌ترین جاذبه‌های گردشگری، مراکز اداری و تجاری و همچنین وسایل حمل و نقل عمومی را برای شما فراهم می‌کند. با اقامت در هتل نور حیات، به راحتی می‌توانید به مکان‌های دیدنی مانند میدان ولیعصر، تئاتر شهر، پارک لاله، موزه ملی ایران و برج آزادی دسترسی داشته باشید. همچنین، مراکز مهم اداری و تجاری مانند دانشگاه امیرکبیر، وزارتخانه‌ها، سفارتخانه‌ها و دفاتر بسیاری از شرکت‌ها در چند قدمی هتل قرار دارند. درست است که این منطقه در محدوده طرح ترافیک است، اما با استفاده از تاکسی سرویس هتل، دغدغه‌ای بابت رفت و آمد در شهر نخواهید داشت. اگر اهل وسایل حمل و نقل عمومی باشید، چندین ایستگاه مترو و بی‌آرتی در اطراف هتل وجود دارد که تردد در شهر را برایتان به راحتی آب خوردن می‌کند. هتل نور حیات تهران پارکینگ به ظرفیت صد خودرو دارد که اگر با خودروی شخصی به این هتل بروید، می‌توانید به صورت رایگان از آن استفاده کنید. انواع اتاق ‌های هتل نور حیات تهران هتل نور حیات تهران با ۱۲۰ اتاق خود می‌تواند حدودا سیصد تخت را در اختیار مهمانانش قرار دهد و به خوبی می‌توان از آنها به بهترین شکل ممکن پذیرایی کند. اتاق‌های دو تخته، سه تخته و سوئیت بیزینس از جمله اتاق‌های هتل نور حیات هستند که بعضی از آنها چشم‌اندازی رو به شهر دارند و بعضی دیگر رو به پاسیو هتل هستند. اتاق‌های هتل نور حیات جمع و جور نقلی‌اند و باتوجه به پنجره‌های بزرگی که دارند، نورگیر هم هستند. سیف باکس، سرویس بهداشتی فرنگی، مینی‌بار، تلویزیون، تهویه مطبوع، مبلمان، میز تحریر، میز توالت، وسایل بهداشتی از جمله امکاناتی است که در اتاق‌های هتل نور حیات مشاهده می‌شود. هتل دارای لابی بزرگ و شیک با ظرفیت چهل نفر است که حتی قابلیت برگزاری قرارهای کاری و دوستانه را هم دارد. امکانات هتل نور حیات تهران هتل نور حیات برای داشتن اقامت هر چه بهتر مهمانانش، امکانات و خدمات مختلفی را هم در نظر گرفته است. مجموعه ورزشی آن که شامل استخر، سونا و جکوزی است برای استفاده عموم هم آزاد است. باشگاه بدنسازی هم برای کسانی که دوست ندارد خللی در برنامه‌های ورزشی‌شان وارد شود، ویژگی برتر هتل به حساب می‌آید. اما هتل نور حیات رستوران و کافی‌شاپ هم دارد که برای برگزاری دورهمی‌ها، تولدها یا مهمانی‌های کوچک هم می‌تواند از شما میزبانی کند. خدمات خشک‌شویی، اینترنت رایگان، ترانسفر فرودگاهی از دیگر خدمات هتل است که می‌تواند اقامتی راحت‌تر را برایتان رقم بزند. هتل نور حیات تهران اقامتگاهی لوکس است با امکاناتی به‌روز، دکوراسیونی مدرن و پرسنلی آموزش‌دیده. اقامت در این هتل به راحتی زندگی در منزل شخصی است و خیالتان از بابت همه چیز راحت است. باتوجه به سبک و هزینه‌های هتل و موقعیت مکانی آن، اقامت در هتل نور حیات تهران می‌تواند برای مهمانان خارجی هم گزینه مطلوبی باشد. افراد کارآفرین و مدیرانی که به دنبال مکانی مناسب برای برگزاری جلسات کاری و همایش‌ها هستند، نیز می‌توانند روی این هتل حساب کنند.,True,خدمات اينترنت بی‌سیم در قسمت پذیرش، خدمات اينترنت بی‌سیم (Wifi)، پذیرش شبانه‌روزی، آسانسور، دستگاه خودپرداز بانک، نمازخانه، امکانات ویژه برای معلولان، تهویه مطبوع، کمد قفل‌دار، سرویس بهداشتی فرنگی، تلویزیون، یخچال، چای‌ساز، قهوه‌ساز، کمد/دراور، مبلمان راحتی، حمام، گاو صندوق، سشوار، تلفن، سیستم تهویه هوا، رستوران، کافی‌شاپ، پارکینگ، جکوزی، سونا، مرکز اسپا و ماساژ، فروشگاه و خرید، آلاچیق، بالکن (تراس)، تالار عروسی، سیستم اطفای حریق، اعلام حریق، خدمات خشکشویی، دستگاه پولیش کفش، سالن اجتماعات، چک‌این (ورود) و چک‌اوت (خروج) سریع,True,مرکز,تهران، میدان فردوسی، خیابان سپهبد قرنی، خیابان سمیه،‌ نرسیده به خیابان حافظ، پلاک 274,True,هتل نور حیات تهران,True,5,1764914259982028800
‌ ‌ ‌ ‌ ‌,True,خدمات اينترنت بی‌سیم (Wifi)، انبارنگهداری چمدان، تلویزیون، یخچال، چای‌ساز، کمد/دراور، حمام، سشوار، تلفن، بالکن (تراس),True,مرکز,تهران، خیابان انقلاب، خیابان ابوریحان، کوچه راضی، پلاک 28,True,هتل آیسان تهران,True,1,1766782996586696704
,False,خدمات اينترنت بی‌سیم در قسمت پذیرش، خدمات اينترنت بی‌سیم (Wifi)، انبارنگهداری چمدان، پذیرش شبانه‌روزی، آسانسور، صرافی، نمازخانه، تاکسی سرویس، خدمات تماس بیدار باش (Wakeup Call)، ممنوعیت سیگار در اتاق‌ها، ورود حیوانات ممنوع، سیستم گرمایشی، سرویس بهداشتی ایرانی، سرویس بهداشتی فرنگی، تلویزیون، یخچال، گیرنده دیجیتال، کمد/دراور، میز ناهارخوری، حمام، سشوار، تلفن، رادیاتور، کولر آبی، کولر گازی، کافی‌شاپ، سرو صبحانه در اتاق، سیستم اطفای حریق، اعلام حریق، خدمات خشکشویی، دستگاه پولیش کفش، جعبه‌ی کمک های اولیه، چک‌این (ورود) و چک‌اوت (خروج) سریع,True,مرکز,تهران، خیابان سعدی جنوبی جدید، بلوک نهم شرقی,True,هتل کاخ زیبا تهران,True,1,1767132180565200896
,False,خدمات اينترنت بی‌سیم در قسمت پذیرش، خدمات اينترنت بی‌سیم (Wifi)، انبارنگهداری چمدان، پذیرش شبانه‌روزی، آسانسور، صرافی، نمازخانه، تاکسی سرویس، خدمات تماس بیدار باش (Wakeup Call)، سیستم گرمایشی، تهویه مطبوع، سرویس بهداشتی ایرانی، تلویزیون، یخچال، کمد/دراور، مبلمان راحتی، حمام، گاو صندوق، سشوار، تلفن، سیستم تهویه هوا، رادیاتور، کولر گازی، رستوران، کافی‌شاپ، بالکن (تراس)، سیستم اطفای حریق، اعلام حریق، خدمات خشکشویی، جعبه‌ی کمک های اولیه، چک‌این (ورود) و چک‌اوت (خروج) سریع، امکانات فکس و کپی,True,مرکز,تهران، بالاتر از میدان ولیعصر، کوه فرشید، پلاک 12,True,هتل آریا تهران,True,2,1780308356443934720
,False,خدمات اينترنت بی‌سیم (Wifi)، پذیرش شبانه‌روزی، سیستم گرمایشی، تهویه مطبوع، سرویس بهداشتی ایرانی، سرویس بهداشتی فرنگی، تلویزیون، یخچال، چای‌ساز، گیرنده دیجیتال، میز ناهارخوری، مبلمان راحتی، آشپزخانه، حمام، اجاق گاز، لوازم آشپزی و پذیرایی، کولر آبی، چک‌این (ورود) و چک‌اوت (خروج) سریع,True,شرق,تهران، خیابان مرتضی مطهری، نرسیده به تقاطع سهروردی، پلاک 126,True,هتل اقامتگاه پرشین پلازا مطهری تهران,True,0,1787810293208846336
,False,انبارنگهداری چمدان، پذیرش شبانه‌روزی، ارائه خدمات تورهای شهری و تفریحی، تاکسی سرویس، خدمات تماس بیدار باش (Wakeup Call)، سیستم گرمایشی، تهویه مطبوع، سرویس بهداشتی ایرانی، سرویس بهداشتی فرنگی، تلویزیون، یخچال، حمام، تلفن، کپسول آتش‌نشانی، ماشین لباسشویی، بخاری برقی، جاروبرقی، رادیاتور، پنکه، کولر آبی، رستوران، سرو صبحانه در اتاق، سرویس روزانه اتاق، خدمات خشکشویی، خدمات اتوی لباس، دستگاه پولیش کفش، جعبه‌ی کمک های اولیه، چک‌این (ورود) و چک‌اوت (خروج) سریع,True,جنوب,تهران، خیابان ولیعصر، بین راه‌آهن و چهارراه مختاری، پلاک 9,True,هتل پیروز تهران,True,1,1788208682576646144
معرفی هتل گران میراث رشیدیه تهران هتل گران میراث رشیدیه همانند قصری در دل محله پونک، اقامتی متفاوت در قلب پایتخت را برایتان رقم می‌زند. در همین ابتدای کار بگوییم که هتل میراث رشیدیه با بسیاری از هتل‌هایی که در تهران دیده‌اید، متفاوت است. ساختمان این مجموعه، چیزی فراتر از یک هتل است و با آن معماری بی‌بدیلش، به یکی از اماکن دیدنی تهران تبدیل شده است و توانسته توجه بسیاری از مسافران و ساکنین شهر تهران را به خود جلب کند. این هتل با معماری باشکوه و دو طبقه مجلل، در سال 1401 گشایش یافت و با آن حیاط و فضای دل‌انگیزش، روزانه از ده‌ها نفر در رستوران و کافی‌شاپش پذیرایی می‌کند. آدرس هتل گران میراث رشیدیه تهران این هتل برخلاف بسیاری از هتل‌های سنتی که در بافت تاریخی شهرها واقع شده‌اند، در غرب تهران و در محله پونک قرار دارد. درست است که حال و هوا و معماری آن سنتی است، اما ساختمان آن قدیمی نیست. و صد البته، همین آدرس و موقعیت مکانی سبب شده، این هتل خارج از محدوده طرح ترافیک باشد و رفت و آمد با خودروی شخصی به‌راحتی صورت بگیرد. البته باتوجه به فاصله ۱۵ دقیقه‌ای هتل گران میراث رشیدیه تهران با مترو، تردد با وسایل حمل و نقل عمومی هم به‌سادگی صورت می‌گیرد. اگر با هواپیما به تهران می‌آیید، هتل با فرودگاه مهرآباد کمتر از بیست دقیقه فاصله دارد و با فرودگاه امام خمینی کمتر از یک ساعت. اگر اهل خرید و پاساژگردی باشید، هتل گران میراث رشیدیه تهران شما را دست خالی برنمی‌گرداند. مرکز خرید مدرن همیلاسنتر، رو به روی هتل خودنمایی می‌کند و مراکز خرید قدیمی محله پونک مثل پاساژ تیراژه با ده دقیقه رانندگی قابل دسترسی هستند. اگر قصد دارید زمانی از روز خود را به پیاده‌روی در یکی از بزرگ‌ترین بوستان‌های تهران بپردازید، بوستان نهج‌البلاغه با پنج دقیقه فاصله‌ای که با هتل میراث رشیدیه دارد، به کمک‌تان خواهد آمد. انواع اتاق‌ های هتل گران میراث رشیدیه تهران مجموعه هتل گران میراث رشیدیه یازده هزار مترمربع زیربنا دارد؛ مجموعه‌ای با ۴۶ واحد اقامتی مجلل، تالارهای پذیرایی باشکوه، گالری هنری، مجموعه ورزشی مجهز و رستوران‌های ایرانی و فرنگی، که به یکی از جاذبه‌های گردشگری تهران تبدیل شده است. اتاق‌های این مجموعه منحصربه‌فرد، معماری و تزئیات باشکوهی دارند که با نمایش جزئیات دقیق و ظریف تاریخی و هنری، چشم هر بیننده‌ای را به خود خیره می‌کند. این جزئیات و تزئینات و نقوش زیبا توسط اساتید برجسته و هنرمندان نامی کشور خلق شده و برگرفته از معماری ادوار تاریخی ایران است. پس می‌توانید حدس بزنید اقامت در این اتاق‌ها چقدر می‌تواند متفاوت و منحصربه‌فرد باشد. ترکیب فضا و معماری سنتی با فناوری‌های روز دنیا، اقامتی بی‌دغدغه و همه‌چیز تمام را بهتان هدیه می‌دهد. اتاق‌های این هتل هرکدام طراحی و چیدمان متفاوتی دارد که نام‌هایی که برای آنها انتخاب شده است، حکایتگر این تفاوت‌ها هستند. خوش‌نشین، نگارین، ملوکانه، دلربا، ایوان شاهی و شاه‌نشین از جمله اتاق‌های این هتل درجه یک و لوکس است. رستوران و کافی شاپ هتل گران میراث رشیدیه تهران یکی از بخش‌های جذاب هتل گران میراث رشیدیه تهران، طعم بی‌نظیر غذاهای ایرانی و فرنگی در رستوران و کافی شاپ هتل است که روزانه میزبان ده‌ها نفر از اهالی و مسافران شهر تهران است. رستوران هتل میراث با داشتن فضای داخلی و خارجی، انواع غذاهای ایرانی و فرنگی، فست‌فودها، کباب‌ها، انواع نوشیدنی‌های خنک و گرم و دسرهای خوشمزه، برای هر ذائقه‌ای چیزی در چنته دارد. فضای بیرونی این رستوران واقعا بی‌نظیر و چشم‌نواز است و حتی برای علاقه‌مندان به عکاسی می‌تواند سوژه خوبی هم باشد. هتل گران میراث رشیدیه جزو هتل‌های لوکس و مجلل پایتخت محسوب می‌شود؛ هتلی که با داشتن فضایی متفاوت، شما را به دل تاریخ می‌برد. هر اتاق آن همانند قصرهای پادشاهان و شاهزادگان قجری است و هر نقش و طرح آن به زیبایی هنر و تاریخ ایران را به تصویر می‌کشد. موقعیت مکانی هتل میراث در غرب تهران، دسترسی مسافران به بیشتر مراکز مهم شهر را آسان‌تر کرده است. همه این موارد سبب شده این هتل به یکی از مقاصد محبوب گردشگران خارجی تبدیل شود که تجربه‌ای کامل و به یاد ماندنی را از سفر به ایران به ارمغان می‌برند.,True,خدمات اينترنت بی‌سیم در قسمت پذیرش، خدمات اينترنت بی‌سیم (Wifi)، انبارنگهداری چمدان، آسانسور، نمازخانه، ترانسفر فرودگاهی، تاکسی سرویس، امکانات ویژه برای معلولان، خدمات تماس بیدار باش (Wakeup Call)، ممنوعیت سیگار در اتاق‌ها، ورود حیوانات ممنوع، ترانسفر فرودگاهی (با پرداخت هزینه)، سیستم گرمایشی، تهویه مطبوع، کمد قفل‌دار، سرویس بهداشتی فرنگی، تلویزیون، یخچال، چای‌ساز، اتو، گیرنده دیجیتال، مبلمان راحتی، حمام، گاو صندوق، سشوار، تلفن، کپسول آتش‌نشانی، سیستم تهویه هوا، کافی‌شاپ، سرو صبحانه در اتاق، استخر سرپوشیده، جکوزی، سونا، سالن بدنسازی، مرکز اسپا و ماساژ، بالکن (تراس)، تالار عروسی، سیستم اطفای حریق، اعلام حریق، سرویس روزانه اتاق، درخواست خدمات در اتاق، خدمات خشکشویی، خدمات اتوی لباس، سالن اجتماعات، سالن کنفرانس، جعبه‌ی کمک های اولیه، امکانات برگزاری جلسات و ضیافت، چک‌این (ورود) و چک‌اوت (خروج) سریع، روزنامه، امکانات فکس و کپی,True,غرب,تهران، اتوبان اشرفی اصفهانی، میدان پونک، خیابان فلاح‌‌زاده، پلاک 35,True,هتل گران میراث رشیدیه تهران,True,5,1795358694226006016
معرفی مهمانپذیر آرام تهران اقامتگاه‌های کوچک و جمع و جور حال و هوای خاص خودشان را دارند و فضای صمیمی و خودمانی‌ای دارند و خیلی درگیر تجملات نیستند. مهمانپذیر آرام تهران هم جزو این دسته از مهمانپذیرهاست؛ مهمانپذیری که نسبت به مبلغی که پرداخت می‌کنید، امکانات خوب و درخوری را به شما ارائه می‌دهد. مهمانپذیر آرام در سال ۱۳۹۷ افتتاح شد و با اینکه زمان زیادی از آغاز به کارش نگذشته بود، در سال ۱۴۰۱ امکاناتش را ارتقا بخشید. آدرس مهمانپذیر آرام تهران مهمانپذیر آرام در حوالی مرکز شهر تهران واقع شده است؛ در یکی از خیابان‌های فرعی خیابان ویلا. این محدوده شامل طرح ترافیک می‌شود و در صورت رزرو اتاق در مهمانپذیر آرام تهران، تردد با وسایل حمل و نقل عمومی گزینه مناسب‌تری خواهد بود. یکی از مزیت‌های اقامت در این محدوده، دسترسی راحت به بسیاری از نقاط تهران با وسایل حمل و نقل عمومی است. ایستگاه‌های متروی هفت‌تیر، فردوسی، طالقانی فاصله چندانی با مهمانپذیر آرام ندارند. از طرفی بی‌آرتی‌های خیابان انقلاب نیز شما را به مهم‌ترین میادین تهران می‌رساند. باتوجه به اینکه این منطقه در محدوده طرح ترافیک است، تاکسی‌ها و خطی‌ها به نقاط مختلف تهران به راحتی در دسترس هستند. حتی با پای پیاده و با کمی قدم زدن هم می‌توانید به بسیاری از مکان‌های دیدنی و جذاب این منطقه بروید. برای مثال، با سه دقیقه پیاده‌روی به پارک هنرمندان بروید، از مجموعه تئاتر ایرانشهر دیدن کنید و کمی در کنار گربه‌های این پارک قدم بزنید و قهوه‌ای نوش جان کنید. بیمارستان آریا، بیمارستان جم، بیمارستان پارس در نزدیکی این مهمانپذیر واقع شده‌اند و اگر برای امور پزشکی در این بیمارستان‌ها به تهران می‌آیید، می‌توانید روی اقامت در مهمانپذیر آرام حساب باز کنید؛ هم اقامتی مقرون به صرفه خواهید داشت، هم از ترافیک و مسیرهای طولانی در امان خواهید بود. به‌خاطر داشته باشید که مهمانپذیر آرام تهران پارکینگ ندارد، اما می‌توان در خیابان مهمانپذیر، جای پارک پیدا کرد و اگر با خودروی شخصی به این مهمانپذیر می‌آیید، چندان درگیر مشکل جای پارک نخواهید شد. انواع اتاق ‌های مهمانپذیر آرام تهران ۲۸ اتاق مهمانپذیر آرام تهران شامل اتاق‌های یک تخته، دو تخته و سه تخته می‌شوند و مناسب سفرهای کم جمعیت و انفرادی‌اند. امکانات همه اتاق‌ها مشابه یکدیگر است و از این نظر نیازی به سبک سنگین کردن نیست. همه اتاق‌ها تلویزیون، یخچال، تلفن، مبلمان، لوازم بهداشتی، کمد و رخت‌آویز و سرویس بهداشتی فرنگی را دارا هستند. اما روم سرویس، صرف صبحانه در اتاق، اینترنت رایگان از جمله خدماتی است که در اتاق‌ها ارائه می‌شود. همه اتاق‌ها مجهز به کولر گازی هستند و در گرمای تابستان تهران هوایی مطبوع را در مهمانپذیر آرام تهران تجربه خواهید کرد. ورودی مهمانپذیر پله ندارد و مستقیما از حیاط مهمانپذیر به لابی و قسمت پذیرش می‌روید. باتوجه به اینکه مهمانپذیر آرام هفت طبقه دارد، دسترسی به اتاق‌ها و طبقات از طریق آسانسور امکان‌پذیر است. بنابراین می‌توان گفت اقامت در مهمانپذیر آرام برای معلولان و سالمندان با راحتی بیشتری صورت می‌گیرد و این افراد می‌توانند روی این مهمانپذیر برای اقامت خود حساب کنند. امکانات مهمانپذیر آرام تهران مهمانپذیر آرام رستوران و کافی‌شاپی جمع و جور هم دارد. رستوران مهمانپذیر آرام با ارائه غذاهای ایرانی و فست‌فودها، نیازهای غذایی شما را در طول اقامت‌تان برآورده می‌کند و کافی‌شاپ مهمانپذیر آرام تهران نیز محیطی دنج و آرام برای قرارهای کاری و دوستانه و نوشیدن یک فنجان چای و خستگی در کردن است. علاوه بر این، مهمانپذیر آرام تهران اتاق بازی هم دارد؛ فضایی خاص برای بردگیم‌ها، پلی استیشن، اتاق بیلیارد و فوتبال‌دستی. در مهمانپذیر آرام تهران به هیچ عنوان حوصله‌تان سر نمی‌رود. اگر برای کار به تهران می‌آیید، بعد از یک روز پردغدغه کمی بازی می‌تواند انرژی از دست رفته‌تان را برگرداند. در مجموع، مهمانپذیر آرام تهران جایی است که با قیمتی مناسب، اقامتی مقرون به صرفه و رضایت‌بخش را ارائه می‌دهد. این مهمانپذیر یک ستاره با موقعیت مکانی خوبی که دارد، برای افرادی که به قصد کار یا حتی امور درمانی به تهران می‌آیند، می‌تواند گزینه مناسبی باشد. پس می‌توان گفت مهمانپذیر آرام، گزینه‌ای ایده‌آل برای اقامتی کوتاه و اقتصادی در قلب تهران است.,True,خدمات اينترنت بی‌سیم در قسمت پذیرش، خدمات اينترنت بی‌سیم (Wifi)، انبارنگهداری چمدان، پذیرش شبانه‌روزی، آسانسور، دستگاه خودپرداز بانک، صرافی، تاکسی سرویس، خدمات تماس بیدار باش (Wakeup Call)، ممنوعیت سیگار در اتاق‌ها، ورود حیوانات ممنوع، سیستم گرمایشی، تهویه مطبوع، سرویس بهداشتی فرنگی، تلویزیون، یخچال، گیرنده دیجیتال، کمد/دراور، میز ناهارخوری، مبلمان راحتی، حمام، تلفن، کپسول آتش‌نشانی، رادیاتور، کولر گازی، رستوران، کافی‌شاپ، سالن بیلیارد، سالن فوتبال‌دستی، سیستم اطفای حریق، اعلام حریق، سرویس روزانه اتاق، درخواست خدمات در اتاق، خدمات خشکشویی، جعبه‌ی کمک های اولیه، چک‌این (ورود) و چک‌اوت (خروج) سریع، امکانات فکس و کپی,True,مرکز,تهران،‌ خیابان استاد نجات الهی (خیابان ویلا)، خیابان جعفر شهری، پلاک 21,True,هتل مهمانپذیر آرام تهران,True,1,1795422181534994432
,False,خدمات اينترنت بی‌سیم در قسمت پذیرش، خدمات اينترنت بی‌سیم (Wifi)، انبارنگهداری چمدان، پذیرش شبانه‌روزی، صرافی، نمازخانه، اتاق ویژه‌ی سیگار، ورود حیوانات ممنوع، سیستم گرمایشی، تهویه مطبوع، سرویس بهداشتی فرنگی، تلویزیون، یخچال، گیرنده دیجیتال، کمد/دراور، حمام، سشوار، تلفن، سیستم تهویه هوا، کولر آبی، کافی‌شاپ، بالکن (تراس)، سیستم اطفای حریق، اعلام حریق، خدمات خشکشویی، دستگاه پولیش کفش، جعبه‌ی کمک های اولیه، چک‌این (ورود) و چک‌اوت (خروج) سریع,True,جنوب,تهران، میدان رازی، خیابان ایروانی، نبش کوچه تفنگ‌چیان، پلاک 93,True,هتل شهریار نوین تهران,True,2,1797940485017309184
